Publisher,Keyword,Ad Group,Keyword Type,Clicks,Impressions,CTR,Avg CPC,Total Advertising Cost,Avg Position,Conversions,Revenue per Conversion,Total Revenue
Yahoo-US,free online games to play,onlinegames-YU,phrase,1,165,0.61%,0.65,0.65,3.62,0,50.06,0.00
Yahoo-US,fisher price online games,onlinegames-YU,phrase,49,4491,1.09%,0.05,2.45,4.14,11,84.01,924.16
Yahoo-US,nfl online games,onlinegames-YU,phrase,3,580,0.52%,0.78,2.34,9.06,1,54.90,54.90
Yahoo-US,mmorpg online games,onlinegames-YU,exact,0,35,0.00%,0.00,0.00,9.10,0,40.16,0.00
Yahoo-US,2 player online games,onlinegames-YU,exact,1,110,0.91%,0.70,0.70,2.61,0,57.35,0.00
Yahoo-Global,online games for preschoolers,onlinegames-YG,exact,1,155,0.65%,0.36,0.36,4.68,1,24.19,24.19
Yahoo-Global,free online games,onlinegames-YG,broad,1,277,0.36%,0.47,0.47,5.02,0,41.99,0.00
Yahoo-Global,math online games,onlinegames-YG,phrase,0,48,0.00%,0.00,0.00,6.36,0,31.15,0.00
Yahoo-Global,bing online games,onlinegames-YG,phrase,1,70,1.43%,0.09,0.09,4.46,0,50.68,0.00
Yahoo-Global,rpg online games no download,onlinegames-YG,phrase,0,392,0.00%,0.00,0.00,6.86,0,33.33,0.00
Yahoo-Global,pokemon online games free,onlinegames-YG,exact,1,97,1.03%,0.15,0.15,3.33,0,26.94,0.00
Yahoo-Global,online games free,onlinegames-YG,broad,0,74,0.00%,0.00,0.00,8.10,0,21.13,0.00
Yahoo-Global,transformers.com online games,onlinegames-YG,phrase,1,113,0.88%,0.51,0.51,2.23,0,63.15,0.00
Yahoo-Global,free kids online games,onlinegames-YG,exact,0,182,0.00%,0.00,0.00,5.42,0,95.30,0.00
Yahoo-Global,free fun online games,onlinegames-YG,phrase,1,105,0.95%,0.69,0.69,4.33,0,16.75,0.00
Yahoo-Global,play free online games without downloading,onlinegames-YG,phrase,1,79,1.27%,0.95,0.95,3.21,0,82.73,0.00
Yahoo-Global,online games for kids free,onlinegames-YG,exact,0,48,0.00%,0.00,0.00,6.74,0,83.56,0.00
Yahoo-Global,fun online games for free,onlinegames-YG,exact,1,98,1.02%,0.43,0.43,3.24,0,77.64,0.00
Yahoo-Global,online games for 3 year olds,onlinegames-YG,phrase,44,1071,4.11%,0.49,21.56,1.19,8,89.89,719.14
Yahoo-Global,two player online games,onlinegames-YG,broad,0,35,0.00%,0.00,0.00,5.05,0,63.99,0.00
Yahoo-Global,nick jr online games,onlinegames-YG,broad,0,53,0.00%,0.00,0.00,9.41,0,52.26,0.00
Yahoo-Global,toy story online games,onlinegames-YG,phrase,3,125,2.40%,0.24,0.72,1.64,1,66.71,66.71
Yahoo-Global,basketball online games,onlinegames-YG,broad,0,336,0.00%,0.00,0.00,3.70,0,43.11,0.00
Yahoo-Global,star wars free online games,onlinegames-YG,exact,9,1539,0.58%,0.58,5.22,5.20,1,88.41,88.41
Yahoo-Global,interactive online games,onlinegames-YG,broad,0,76,0.00%,0.00,0.00,4.93,0,48.61,0.00
Yahoo-Global,educational online games,onlinegames-YG,broad,3,406,0.74%,0.86,2.58,3.32,1,25.56,25.56
Yahoo-Global,dealornodeal online games,onlinegames-YG,broad,1,62,1.61%,0.43,0.43,3.50,0,70.53,0.00
Yahoo-Global,halo online games,onlinegames-YG,exact,1,372,0.27%,0.65,0.65,5.90,1,68.44,68.44
Yahoo-Global,online games for free without downloading,onlinegames-YG,exact,1,65,1.54%,0.85,0.85,3.74,0,40.96,0.00
Yahoo-Global,free online games without downloading,onlinegames-YG,phrase,0,39,0.00%,0.00,0.00,4.23,0,78.93,0.00
Yahoo-Global,sonic the hedgehog online games,onlinegames-YG,phrase,0,55,0.00%,0.00,0.00,4.67,0,33.90,0.00
Yahoo-Global,free star wars online games,onlinegames-YG,exact,2,185,1.08%,0.30,0.60,3.63,1,60.06,60.06
Yahoo-Global,family feud online games,onlinegames-YG,broad,1,97,1.03%,0.28,0.28,2.89,0,42.49,0.00
Yahoo-Global,multiplayer online games for free,onlinegames-YG,phrase,0,73,0.00%,0.00,0.00,2.61,0,86.44,0.00
Yahoo-Global,free fps online games,onlinegames-YG,phrase,2,289,0.69%,0.38,0.76,8.50,0,22.95,0.00
Yahoo-Global,children online games,onlinegames-YG,broad,0,66,0.00%,0.00,0.00,9.54,0,80.79,0.00
Yahoo-Global,disney online games,onlinegames-YG,exact,1,134,0.75%,0.07,0.07,4.41,0,38.53,0.00
Yahoo-Global,best online games,onlinegames-YG,broad,0,73,0.00%,0.00,0.00,4.09,0,25.78,0.00
Yahoo-Global,kid online games,onlinegames-YG,phrase,0,103,0.00%,0.00,0.00,3.26,0,15.06,0.00
Yahoo-Global,free multiplayer online games no download,onlinegames-YG,phrase,0,29,0.00%,0.00,0.00,5.92,0,24.53,0.00
Yahoo-Global,free online games strategy,onlinegames-YG,exact,0,64,0.00%,0.00,0.00,3.32,0,90.95,0.00
Yahoo-Global,awesome online games,onlinegames-YG,phrase,0,88,0.00%,0.00,0.00,5.43,0,29.62,0.00
Yahoo-Global,make money online games,onlinegames-YG,broad,14,4804,0.29%,1.04,14.56,7.39,2,71.92,143.84
Yahoo-Global,pokemon online games,onlinegames-YG,exact,2,114,1.75%,0.21,0.42,2.63,2,44.88,89.77
Yahoo-Global,online games for 4 year olds,onlinegames-YG,phrase,0,80,0.00%,0.00,0.00,6.89,0,63.79,0.00
Yahoo-Global,kids free online games,onlinegames-YG,broad,0,86,0.00%,0.00,0.00,3.46,0,16.61,0.00
Yahoo-Global,free online games family feud,onlinegames-YG,broad,4,399,1.00%,0.45,1.80,1.92,1,84.65,84.65
Yahoo-Global,virtual reality online games,onlinegames-YG,broad,2,209,0.96%,1.31,2.62,3.08,0,70.95,0.00
Yahoo-Global,good online games,onlinegames-YG,exact,0,46,0.00%,0.00,0.00,5.30,0,42.23,0.00
Yahoo-Global,harry potter online games,onlinegames-YG,broad,1,123,0.81%,0.50,0.50,6.95,0,44.16,0.00
Yahoo-Global,sonic online games,onlinegames-YG,broad,23,1792,1.28%,0.12,2.76,3.19,7,46.54,325.75
MSN-Global,free online games for girls,online games-MG,broad,0,39,0.00%,0.00,0.00,4.48,0,84.86,0.00
MSN-Global,golf online games,online games-MG,broad,0,28,0.00%,0.00,0.00,6.93,0,92.47,0.00
MSN-Global,free online games hidden object games,online games-MG,broad,0,83,0.00%,0.00,0.00,3.29,0,57.34,0.00
MSN-Global,hidden objects free online games,online games-MG,phrase,0,28,0.00%,0.00,0.00,6.97,0,58.10,0.00
MSN-Global,free online games no downloads,online games-MG,phrase,0,52,0.00%,0.00,0.00,3.69,0,94.24,0.00
MSN-Global,free online games for boys,online games-MG,phrase,2,170,1.18%,0.78,1.56,3.62,2,81.46,162.93
MSN-Global,transformers online games,online games-MG,exact,3,146,2.05%,0.52,1.56,1.28,2,20.10,40.19
MSN-Global,naruto online games,online games-MG,broad,0,45,0.00%,0.00,0.00,2.29,0,21.45,0.00
MSN-Global,top online games,online games-MG,broad,0,73,0.00%,0.00,0.00,4.23,0,31.15,0.00
MSN-Global,mario free online games,online games-MG,broad,0,54,0.00%,0.00,0.00,5.04,0,90.94,0.00
MSN-Global,dbz online games,online games-MG,broad,1,73,1.37%,0.07,0.07,3.42,1,48.93,48.93
MSN-Global,massive multiplayer online games,online games-MG,broad,1,186,0.54%,1.21,1.21,2.37,1,42.02,42.02
MSN-Global,best online games for free,online games-MG,phrase,0,36,0.00%,0.00,0.00,5.97,0,66.49,0.00
MSN-Global,funny online games,online games-MG,phrase,0,58,0.00%,0.00,0.00,8.61,0,28.65,0.00
MSN-Global,free online games for girls only,online games-MG,phrase,4,459,0.87%,0.35,1.40,3.14,3,28.14,84.42
MSN-Global,football online games,online games-MG,broad,0,40,0.00%,0.00,0.00,4.51,0,60.29,0.00
MSN-Global,mmorpg online games free no download,online games-MG,exact,2,113,1.77%,1.61,3.22,1.11,1,30.49,30.49
MSN-Global,cars online games,online games-MG,exact,1,259,0.39%,0.19,0.19,1.06,1,57.26,57.26
MSN-Global,soccer online games,online games-MG,phrase,0,42,0.00%,0.00,0.00,7.37,0,36.31,0.00
MSN-Global,avatar online games,online games-MG,exact,0,51,0.00%,0.00,0.00,4.92,0,27.71,0.00
MSN-Global,christmas online games,online games-MG,exact,0,31,0.00%,0.00,0.00,3.73,0,88.88,0.00
MSN-Global,batman online games for kids,online games-MG,phrase,0,90,0.00%,0.00,0.00,5.49,0,85.09,0.00
MSN-Global,all online games,online games-MG,broad,2,127,1.57%,0.60,1.20,1.15,1,60.12,60.12
MSN-Global,wwe online games,online games-MG,phrase,0,40,0.00%,0.00,0.00,4.43,0,74.48,0.00
MSN-Global,free mario online games,online games-MG,broad,1,405,0.25%,0.25,0.25,7.37,1,19.58,19.58
MSN-Global,cool free online games,online games-MG,exact,0,65,0.00%,0.00,0.00,2.54,0,75.85,0.00
MSN-Global,baby online games,online games-MG,broad,1,298,0.34%,0.43,0.43,2.30,1,35.21,35.21
MSN-Global,super mario online games,online games-MG,exact,0,45,0.00%,0.00,0.00,2.41,0,58.11,0.00
MSN-Global,sesame street online games,online games-MG,phrase,0,104,0.00%,0.00,0.00,4.51,0,73.02,0.00
MSN-Global,toy story 3 online games,online games-MG,phrase,1,164,0.61%,0.23,0.23,5.36,1,89.73,89.73
MSN-Global,online games for kindergarteners,online games-MG,phrase,4,471,0.85%,0.70,2.80,2.36,4,31.00,123.99
MSN-Global,littlest pet shop online games,online games-MG,exact,1,82,1.22%,0.78,0.78,4.06,1,73.70,73.70
MSN-Global,free toddler online games,online games-MG,phrase,0,27,0.00%,0.00,0.00,7.48,0,24.53,0.00
MSN-Global,best online games ever,online games-MG,broad,1,132,0.76%,0.77,0.77,1.28,0,93.76,0.00
MSN-Global,kids online games free,online games-MG,broad,1,163,0.61%,0.86,0.86,1.95,1,27.67,27.67
MSN-Global,fps online games,online games-MG,broad,0,83,0.00%,0.00,0.00,3.80,0,68.90,0.00
MSN-Global,mobile online games,online games-MG,broad,0,18,0.00%,0.00,0.00,9.99,0,94.92,0.00
MSN-Global,tmnt online games,online games-MG,broad,0,56,0.00%,0.00,0.00,1.87,0,53.16,0.00
MSN-Global,dora online games,online games-MG,broad,1,306,0.33%,0.34,0.34,3.42,0,95.22,0.00
MSN-Global,new online games,online games-MG,broad,0,14,0.00%,0.00,0.00,8.24,0,85.68,0.00
MSN-Global,south park online games,online games-MG,phrase,0,52,0.00%,0.00,0.00,3.92,0,32.73,0.00
MSN-Global,my little pony online games,online games-MG,broad,0,156,0.00%,0.00,0.00,2.72,0,55.38,0.00
MSN-Global,massive online games,online games-MG,broad,0,94,0.00%,0.00,0.00,2.87,0,36.34,0.00
MSN-Global,free rpg online games,online games-MG,broad,0,114,0.00%,0.00,0.00,2.49,0,82.56,0.00
MSN-Global,online games no download,online games-MG,phrase,1,63,1.59%,1.04,1.04,2.72,1,88.27,88.27
MSN-Global,science online games,online games-MG,broad,0,78,0.00%,0.00,0.00,1.54,0,19.33,0.00
MSN-Global,free online games for kindergarteners,online games-MG,phrase,1,145,0.69%,0.74,0.74,1.44,1,55.16,55.16
MSN-Global,pokemon free online games,online games-MG,exact,0,39,0.00%,0.00,0.00,4.53,0,87.00,0.00
MSN-Global,childrens online games,online games-MG,exact,2,568,0.35%,0.84,1.68,1.62,1,89.77,89.77
MSN-Global,psp online games,online games-MG,phrase,0,35,0.00%,0.00,0.00,6.37,0,60.20,0.00
MSN-Global,all free online games,online games-MG,phrase,0,48,0.00%,0.00,0.00,3.29,0,88.89,0.00
MSN-Global,purble place online games,online games-MG,broad,0,55,0.00%,0.00,0.00,3.81,0,66.76,0.00
MSN-Global,thomas the tank engine online games,online games-MG,broad,0,40,0.00%,0.00,0.00,9.53,0,56.30,0.00
MSN-Global,the best free online games,online games-MG,phrase,0,47,0.00%,0.00,0.00,2.85,0,65.64,0.00
MSN-Global,new free online games,online games-MG,broad,0,49,0.00%,0.00,0.00,3.37,0,16.01,0.00
MSN-Global,bakugan online games,online games-MG,broad,2,222,0.90%,0.65,1.30,1.47,2,29.43,58.87
MSN-Global,free virtual online games,online games-MG,phrase,0,99,0.00%,0.00,0.00,1.41,0,75.66,0.00
MSN-Global,virtual online games with avatars,online games-MG,broad,0,66,0.00%,0.00,0.00,4.31,0,65.91,0.00
MSN-Global,scrabble online games,online games-MG,exact,1,159,0.63%,0.71,0.71,4.82,1,45.27,45.27
MSN-Global,free mmorpg online games,online games-MG,phrase,0,31,0.00%,0.00,0.00,4.51,0,57.17,0.00
MSN-Global,vampire online games,online games-MG,broad,0,55,0.00%,0.00,0.00,3.81,0,24.96,0.00
MSN-Global,shrek online games,online games-MG,phrase,0,60,0.00%,0.00,0.00,4.27,0,42.18,0.00
MSN-Global,i spy online games,online games-MG,phrase,0,50,0.00%,0.00,0.00,3.17,0,23.73,0.00
MSN-Global,google online games,online games-MG,broad,0,99,0.00%,0.00,0.00,4.18,0,46.75,0.00
MSN-Global,adventure online games,online games-MG,exact,0,33,0.00%,0.00,0.00,3.96,0,30.73,0.00
MSN-Global,match 3 free online games,online games-MG,phrase,0,36,0.00%,0.00,0.00,8.98,0,80.84,0.00
MSN-Global,free preschool online games,online games-MG,broad,0,32,0.00%,0.00,0.00,9.81,0,37.48,0.00
MSN-Global,real arcade online games,online games-MG,phrase,1,86,1.16%,1.02,1.02,1.57,1,17.00,17.00
MSN-Global,free rpg online games no downloads,online games-MG,broad,0,41,0.00%,0.00,0.00,3.91,0,53.25,0.00
MSN-Global,hot wheels online games,online games-MG,broad,0,68,0.00%,0.00,0.00,2.33,0,26.81,0.00
MSN-Global,racing online games,online games-MG,phrase,0,36,0.00%,0.00,0.00,9.11,0,21.92,0.00
MSN-Global,free online games kids,online games-MG,broad,0,35,0.00%,0.00,0.00,7.87,0,15.16,0.00
MSN-Global,wwe free online games,online games-MG,phrase,7,381,1.84%,0.59,4.13,1.41,7,24.49,171.42
MSN-Global,online games for girls,online games-MG,broad,1,74,1.35%,0.57,0.57,2.34,1,34.15,34.15
MSN-Global,online games for money,online games-MG,exact,0,165,0.00%,0.00,0.00,7.76,0,45.25,0.00
MSN-Global,war online games,online games-MG,exact,1,87,1.15%,1.26,1.26,1.56,1,36.71,36.71
MSN-Global,chess online games,online games-MG,broad,0,42,0.00%,0.00,0.00,7.56,0,35.74,0.00
MSN-Global,horse online games,online games-MG,exact,0,41,0.00%,0.00,0.00,4.68,0,71.70,0.00
MSN-Global,free hidden object online games,online games-MG,phrase,2,313,0.64%,1.06,2.12,3.84,1,88.80,88.80
MSN-Global,batman online games,online games-MG,broad,1,134,0.75%,0.36,0.36,3.10,0,18.94,0.00
MSN-Global,free online games hidden objects,online games-MG,phrase,7,651,1.08%,0.98,6.86,2.64,3,78.74,236.23
MSN-Global,hello kitty online games,online games-MG,broad,0,27,0.00%,0.00,0.00,6.85,0,58.35,0.00
MSN-Global,playing online games,online games-MG,broad,2,216,0.93%,0.91,1.82,3.26,1,70.06,70.06
MSN-Global,mmo online games,online games-MG,phrase,0,54,0.00%,0.00,0.00,6.29,0,65.09,0.00
MSN-Global,online games multiplayer,online games-MG,broad,0,41,0.00%,0.00,0.00,3.70,0,55.50,0.00
MSN-Global,scooby doo online games,online games-MG,phrase,0,50,0.00%,0.00,0.00,3.50,0,30.98,0.00
MSN-Global,preschool free online games,online games-MG,exact,0,39,0.00%,0.00,0.00,5.70,0,91.11,0.00
MSN-Global,play free online games,online games-MG,phrase,0,68,0.00%,0.00,0.00,4.64,0,73.57,0.00
MSN-Global,the best online games,online games-MG,broad,7,737,0.95%,0.79,5.53,1.20,2,55.10,110.20
MSN-Global,dragon ball z online games,online games-MG,broad,1,292,0.34%,0.09,0.09,3.26,1,75.96,75.96
MSN-Global,3d online games,online games-MG,broad,38,2151,1.77%,0.67,25.46,1.18,38,63.46,2411.42
MSN-Global,spiderman online games,online games-MG,phrase,1,169,0.59%,0.37,0.37,3.27,0,62.82,0.00
MSN-Global,free online games for adults,online games-MG,broad,2,127,1.57%,0.40,0.80,2.00,1,28.16,28.16
MSN-Global,free online games without downloading anything,online games-MG,phrase,0,33,0.00%,0.00,0.00,4.89,0,86.11,0.00
MSN-Global,top 10 online games,online games-MG,exact,1,82,1.22%,0.50,0.50,2.25,0,70.91,0.00
MSN-Global,www.free online games,online games-MG,phrase,0,73,0.00%,0.00,0.00,7.28,0,51.49,0.00
MSN-Global,mofunzone online games,online games-MG,phrase,0,21,0.00%,0.00,0.00,9.65,0,48.61,0.00
MSN-Global,free childrens online games,online games-MG,exact,0,32,0.00%,0.00,0.00,3.84,0,78.66,0.00
MSN-Global,free online games to download,online games-MG,phrase,0,58,0.00%,0.00,0.00,1.86,0,38.03,0.00
MSN-Global,google games free online games,online games-MG,broad,1,80,1.25%,1.01,1.01,1.88,0,38.85,0.00
MSN-Global,tom and jerry online games,online games-MG,phrase,0,33,0.00%,0.00,0.00,3.81,0,38.97,0.00
MSN-Global,ben 10 online games,online games-MG,broad,2,344,0.58%,0.38,0.76,2.54,2,17.84,35.68
MSN-Global,pc online games,online games-MG,broad,0,40,0.00%,0.00,0.00,5.77,0,84.83,0.00
MSN-Global,barbie online games,online games-MG,broad,0,20,0.00%,0.00,0.00,7.14,0,54.67,0.00
MSN-Global,download online games,online games-MG,exact,1,160,0.63%,0.83,0.83,1.79,1,87.09,87.09
MSN-Global,shooting online games,online games-MG,broad,2,387,0.52%,0.88,1.76,2.70,2,86.93,173.86
MSN-Global,the simpsons online games,online games-MG,phrase,10,495,2.02%,0.23,2.30,1.30,10,91.51,915.05
MSN-Global,hidden object online games,online games-MG,broad,0,94,0.00%,0.00,0.00,3.08,0,42.34,0.00
MSN-Global,free online games mmorpg,online games-MG,phrase,0,129,0.00%,0.00,0.00,2.37,0,65.24,0.00
MSN-Global,online games kids,online games-MG,broad,0,93,0.00%,0.00,0.00,3.65,0,71.04,0.00
MSN-Global,digimon online games,online games-MG,exact,1,74,1.35%,0.31,0.31,2.90,0,20.88,0.00
MSN-Global,download free online games,online games-MG,broad,1,69,1.45%,0.94,0.94,1.99,0,64.80,0.00
MSN-Global,online games rpg,online games-MG,broad,10,1275,0.78%,1.07,10.70,1.42,6,57.23,343.37
MSN-Global,hidden object free online games,online games-MG,exact,0,45,0.00%,0.00,0.00,2.85,0,19.71,0.00
MSN-Global,online games basketball,online games-MG,exact,0,223,0.00%,0.00,0.00,4.26,0,56.50,0.00
MSN-Global,fantasy online games,online games-MG,broad,0,92,0.00%,0.00,0.00,3.28,0,19.90,0.00
MSN-Global,online games to play,online games-MG,exact,0,46,0.00%,0.00,0.00,4.54,0,63.54,0.00
MSN-Global,power rangers online games,online games-MG,phrase,0,132,0.00%,0.00,0.00,1.40,0,90.72,0.00
MSN-Global,girls online games,online games-MG,exact,1,129,0.78%,0.32,0.32,1.09,0,236.14,0.00
MSN-Global,strategy online games,online games-MG,broad,0,23,0.00%,0.00,0.00,8.10,0,244.78,0.00
MSN-Global,free 3d online games,online games-MG,broad,1,348,0.29%,0.89,0.89,6.35,1,131.78,131.78
MSN-Global,online games for kids under 5,online games-MG,exact,0,70,0.00%,0.00,0.00,7.63,0,284.03,0.00
MSN-Global,car online games,online games-MG,phrase,0,47,0.00%,0.00,0.00,9.55,0,119.01,0.00
MSN-Global,rpg free online games,online games-MG,broad,1,90,1.11%,1.20,1.20,1.38,1,387.44,387.44
MSN-Global,free games online games,online games-MG,phrase,0,32,0.00%,0.00,0.00,4.39,0,191.10,0.00
MSN-Global,pet online games,online games-MG,phrase,0,20,0.00%,0.00,0.00,5.48,0,184.37,0.00
MSN-Global,flash online games,online games-MG,broad,0,49,0.00%,0.00,0.00,4.73,0,214.79,0.00
MSN-Global,buy online games,online games-MG,broad,0,35,0.00%,0.00,0.00,3.65,0,397.56,0.00
MSN-Global,top 100 online games,online games-MG,phrase,1,399,0.25%,0.82,0.82,4.54,0,261.25,0.00
MSN-Global,play free online games now,online games-MG,exact,0,44,0.00%,0.00,0.00,4.92,0,162.12,0.00
MSN-Global,action online games,online games-MG,broad,2,509,0.39%,1.20,2.40,3.12,1,387.46,387.46
MSN-Global,online games download,online games-MG,exact,1,113,0.88%,1.04,1.04,2.92,1,126.82,126.82
MSN-Global,online games for children,online games-MG,phrase,1,363,0.28%,1.14,1.14,3.86,1,197.11,197.11
MSN-Global,free online games download,online games-MG,exact,0,36,0.00%,0.00,0.00,4.88,0,263.78,0.00
MSN-Global,play-free-online-games.com,online games-MG,phrase,0,31,0.00%,0.00,0.00,8.86,0,213.06,0.00
MSN-Global,online games for boys,online games-MG,broad,0,52,0.00%,0.00,0.00,3.50,0,371.60,0.00
MSN-Global,google free online games,online games-MG,exact,0,61,0.00%,0.00,0.00,5.22,0,384.38,0.00
MSN-Global,free online games multiplayer,online games-MG,broad,0,71,0.00%,0.00,0.00,3.83,0,331.06,0.00
MSN-Global,online games mmorpg,online games-MG,phrase,22,1854,1.19%,1.14,25.08,2.14,12,212.09,2545.07
MSN-Global,free online games for children,online games-MG,phrase,0,40,0.00%,0.00,0.00,3.41,0,279.17,0.00
MSN-Global,puzzle online games,online games-MG,exact,0,43,0.00%,0.00,0.00,2.64,0,273.08,0.00
MSN-Global,online games chess,online games-MG,exact,1,78,1.28%,0.73,0.73,2.74,1,230.81,230.81
MSN-Global,online games strategy,online games-MG,broad,0,24,0.00%,0.00,0.00,8.93,0,276.26,0.00
MSN-Global,online games free play,online games-MG,exact,0,41,0.00%,0.00,0.00,7.05,0,392.46,0.00
MSN-Global,free download online games,online games-MG,broad,0,70,0.00%,0.00,0.00,2.43,0,292.02,0.00
MSN-Global,free online games download full version,online games-MG,broad,0,146,0.00%,0.00,0.00,8.62,0,243.24,0.00
MSN-Global,ben 10 free online games,online games-MG,phrase,0,39,0.00%,0.00,0.00,4.68,0,274.51,0.00
MSN-Global,browser online games,online games-MG,broad,0,40,0.00%,0.00,0.00,4.87,0,161.30,0.00
MSN-Global,www.online games,online games-MG,broad,0,53,0.00%,0.00,0.00,2.37,0,136.76,0.00
MSN-Global,hidden objects online games,online games-MG,broad,0,23,0.00%,0.00,0.00,9.53,0,144.40,0.00
MSN-Global,online games download free,online games-MG,exact,0,64,0.00%,0.00,0.00,6.34,0,144.21,0.00
MSN-Global,free online games to play now,online games-MG,phrase,0,19,0.00%,0.00,0.00,8.29,0,195.28,0.00
MSN-Global,online games,online games-MG,broad,0,56,0.00%,0.00,0.00,4.83,0,145.91,0.00
MSN-Global,free online games for kids,online games-MG,exact,0,92,0.00%,0.00,0.00,3.23,0,236.11,0.00
MSN-Global,online games for free,online games-MG,exact,0,60,0.00%,0.00,0.00,3.29,0,105.29,0.00
MSN-Global,rpg online games,online games-MG,broad,1,70,1.43%,1.03,1.03,1.79,1,180.73,180.73
MSN-Global,online games for kids,online games-MG,broad,0,43,0.00%,0.00,0.00,4.54,0,93.92,0.00
MSN-Global,free online games no download,online games-MG,exact,0,41,0.00%,0.00,0.00,4.96,0,260.32,0.00
MSN-Global,kids online games,online games-MG,broad,0,74,0.00%,0.00,0.00,8.37,0,331.38,0.00
MSN-Global,free multiplayer online games,online games-MG,broad,0,55,0.00%,0.00,0.00,3.12,0,301.28,0.00
MSN-Global,fun online games,online games-MG,exact,0,35,0.00%,0.00,0.00,2.91,0,226.87,0.00
MSN-Global,online games to play for free,online games-MG,exact,0,108,0.00%,0.00,0.00,1.91,0,92.46,0.00
MSN-Global,toddler online games,online games-MG,broad,0,72,0.00%,0.00,0.00,9.29,0,294.02,0.00
MSN-Global,multiplayer online games,online games-MG,phrase,0,89,0.00%,0.00,0.00,2.08,0,304.01,0.00
MSN-Global,preschool online games,online games-MG,phrase,0,81,0.00%,0.00,0.00,4.44,0,300.42,0.00
MSN-Global,virtual online games,online games-MG,phrase,0,35,0.00%,0.00,0.00,9.04,0,299.83,0.00
MSN-Global,online games for toddlers,online games-MG,exact,0,38,0.00%,0.00,0.00,2.92,0,246.99,0.00
MSN-Global,star wars online games,online games-MG,exact,0,94,0.00%,0.00,0.00,1.13,0,317.43,0.00
MSN-Global,spongebob online games,online games-MG,broad,0,52,0.00%,0.00,0.00,3.13,0,139.09,0.00
MSN-Global,free online games no download required,online games-MG,broad,0,39,0.00%,0.00,0.00,7.58,0,231.73,0.00
MSN-Global,cool online games,online games-MG,broad,1,82,1.22%,0.82,0.82,2.81,1,231.90,231.90
MSN-Global,mario online games,online games-MG,broad,0,270,0.00%,0.00,0.00,8.28,0,286.15,0.00
MSN-Global,free online games rpg,online games-MG,broad,4,367,1.09%,1.32,5.28,1.93,4,152.95,611.81
MSN-Global,fun online games for girls,online games-MG,phrase,0,88,0.00%,0.00,0.00,3.94,0,144.04,0.00
MSN-Global,polly pocket online games,online games-MG,exact,3,362,0.83%,0.49,1.47,2.89,2,292.02,584.03
MSN-Global,free online games for toddlers,online games-MG,exact,2,87,2.30%,0.78,1.56,1.20,2,107.26,214.52
MSN-Global,fun free online games,online games-MG,exact,0,15,0.00%,0.00,0.00,8.59,0,331.31,0.00
MSN-Global,mortal kombat online games,online games-MG,phrase,0,47,0.00%,0.00,0.00,3.93,0,319.60,0.00
MSN-Global,free online games for preschoolers,online games-MG,broad,0,17,0.00%,0.00,0.00,7.64,0,190.57,0.00
MSN-Global,best free online games,online games-MG,phrase,0,40,0.00%,0.00,0.00,4.50,0,119.84,0.00
MSN-Global,kindergarten online games,online games-MG,broad,0,46,0.00%,0.00,0.00,4.21,0,126.99,0.00
MSN-Global,fun online games for kids,online games-MG,broad,0,30,0.00%,0.00,0.00,5.05,0,381.62,0.00
MSN-Global,baseball online games,online games-MG,exact,0,286,0.00%,0.00,0.00,4.28,0,202.73,0.00
MSN-Global,cool online games for free,online games-MG,broad,9,606,1.49%,0.69,6.21,1.05,3,99.76,299.27
MSN-Global,free online games to play,online games-MG,exact,1,99,1.01%,0.77,0.77,3.52,0,277.25,0.00
MSN-Global,fisher price online games,online games-MG,broad,0,39,0.00%,0.00,0.00,2.96,0,240.25,0.00
MSN-Global,nfl online games,online games-MG,phrase,1,151,0.66%,0.72,0.72,1.76,1,373.60,373.60
MSN-Global,mmorpg online games,online games-MG,broad,1,153,0.65%,0.97,0.97,3.71,1,206.86,206.86
MSN-Global,2 player online games,online games-MG,broad,0,31,0.00%,0.00,0.00,4.25,0,378.22,0.00
MSN-Global,online games for preschoolers,online games-MG,broad,0,58,0.00%,0.00,0.00,4.07,0,197.90,0.00
MSN-Global,free online games,online games-MG,phrase,0,87,0.00%,0.00,0.00,3.70,0,285.33,0.00
MSN-Global,math online games,online games-MG,phrase,0,115,0.00%,0.00,0.00,4.59,0,318.05,0.00
MSN-Global,bing online games,online games-MG,broad,0,243,0.00%,0.00,0.00,6.90,0,182.06,0.00
MSN-Global,rpg online games no download,online games-MG,broad,0,21,0.00%,0.00,0.00,8.42,0,155.16,0.00
MSN-Global,pokemon online games free,online games-MG,exact,2,157,1.27%,0.48,0.96,2.15,1,281.42,281.42
MSN-Global,online games free,online games-MG,exact,0,51,0.00%,0.00,0.00,4.72,0,147.63,0.00
MSN-Global,transformers.com online games,online games-MG,phrase,0,25,0.00%,0.00,0.00,7.58,0,184.09,0.00
MSN-Global,free kids online games,online games-MG,broad,0,32,0.00%,0.00,0.00,5.38,0,97.34,0.00
MSN-Global,free fun online games,online games-MG,broad,0,28,0.00%,0.00,0.00,7.81,0,364.47,0.00
MSN-Global,play free online games without downloading,online games-MG,broad,0,27,0.00%,0.00,0.00,6.56,0,90.84,0.00
MSN-Global,online games for kids free,online games-MG,broad,0,50,0.00%,0.00,0.00,7.64,0,90.75,0.00
MSN-Global,fun online games for free,online games-MG,broad,0,45,0.00%,0.00,0.00,3.68,0,190.73,0.00
